"","Tx","ty","Model","ParamSensitivity","ParamSpecificity","p_ty","dp_ty","FI_Tx"
"28",5,2,"Group-level",1,1,0.135292542509414,0.0444412782572677,0.036152921975554
"29",5,3,"Group-level",1,1,0.0131719041875544,0.00909977929987652,0.036152921975554
"30",5,4,"Group-level",1,1,0.000306026815901195,0.000372971731313482,0.036152921975554
"31",6,0,"Group-level",1,1,0.340993016749935,-0.0632539024879433,0.029779134566678
"32",6,1,"Group-level",1,1,0.454509187683213,0.00606570064901174,0.029779134566678
"33",6,2,"Group-level",1,1,0.179626808352419,0.0438531004680255,0.029779134566678
"34",6,3,"Group-level",1,1,0.0240103539063985,0.0125731430744372,0.029779134566678
"35",6,4,"Group-level",1,1,0.000860633308033876,0.00076195829646894,0.029779134566678
"36",7,0,"Group-level",1,1,0.282951652196767,-0.053104742112904,0.0252540008521234
"37",7,1,"Group-level",1,1,0.454528102745036,-0.00547506459072095,0.0252540008521234
"38",7,2,"Group-level",1,1,0.222361869898827,0.0413498947828529,0.0252540008521234
"39",7,3,"Group-level",1,1,0.0382760246639351,0.0159220569276436,0.0252540008521234
"40",7,4,"Group-level",1,1,0.00188235049543528,0.00130785499312855,0.0252540008521234
"41",8,0,"Group-level",1,1,0.234271798055385,-0.0444918816863972,0.0218720856096233
"42",8,1,"Group-level",1,1,0.444559169435419,-0.0140120971931634,0.0218720856096233
"43",8,2,"Group-level",1,1,0.261882754562818,0.0375114103883592,0.0218720856096233
"44",8,3,"Group-level",1,1,0.0557576468202581,0.0189821919030032,0.0218720856096233
"45",8,4,"Group-level",1,1,0.00352863112612001,0.00201037658819844,0.0218720856096233
"46",9,0,"Group-level",1,1,0.193528876654454,-0.0371970209735569,0.0192470929930449
"47",9,1,"Group-level",1,1,0.427316112214441,-0.0201095754310622,0.0192470929930449
"48",9,2,"Group-level",1,1,0.297096319744183,0.0328046399075107,0.0192470929930449
"49",9,3,"Group-level",1,1,0.0761058147469642,0.0216399167227409,0.0192470929930449
"50",9,4,"Group-level",1,1,0.00595287663995792,0.0028620397743675,0.0192470929930449
"51",10,0,"Group-level",1,1,0.159501821418502,-0.0310308091016774,0.0171493879852141
"52",10,1,"Group-level",1,1,0.404993790015426,-0.024243199086028,0.0171493879852141
"53",10,2,"Group-level",1,1,0.327327339399354,0.0276011123824659,0.0171493879852141
"54",10,3,"Group-level",1,1,0.0988788619885735,0.023822889245922,0.0171493879852141
"55",10,4,"Group-level",1,1,0.00929818717814457,0.00385000655931746,0.0171493879852141
"56",11,0,"Group-level",1,1,0.131145942055196,-0.0258292861431901,0.0154337874207129
"57",11,1,"Group-level",1,1,0.379350497376653,-0.0268122862997342,0.0154337874207129
"58",11,2,"Group-level",1,1,0.35223074789932,0.0221919581647675,0.0154337874207129
"59",11,3,"Group-level",1,1,0.123580009402172,0.0254919835736037,0.0154337874207129
"60",11,4,"Group-level",1,1,0.0136928032666586,0.00495763070455324,0.0154337874207129
"61",12,0,"Group-level",1,1,0.107569143483483,-0.0214507268205027,0.0140039687403131
"62",12,1,"Group-level",1,1,0.351778914279621,-0.0281504068142425,0.0140039687403131
"63",12,2,"Group-level",1,1,0.371717938745676,0.0168009928830987,0.0140039687403131
"64",12,3,"Group-level",1,1,0.149687042498667,0.0266343966536054,0.0140039687403131
"65",12,4,"Group-level",1,1,0.0192469609925523,0.00616574409804108,0.0140039687403131
"66",13,0,"Group-level",1,1,0.0880111173955848,-0.0177728449677755,0.0127934954612497
"67",13,1,"Group-level",1,1,0.323367088420322,-0.0285347087826123,0.0127934954612497
"68",13,2,"Group-level",1,1,0.385895250807091,0.0115960438742831,0.0127934954612497
"69",13,3,"Group-level",1,1,0.176675625907039,0.0272577936974967,0.0127934954612497
"70",13,4,"Group-level",1,1,0.0260509174699624,0.00745371617860804,0.0127934954612497
"71",14,0,"Group-level",1,1,0.071825164771106,-0.014690321210764,0.0117550539911916
"72",14,1,"Group-level",1,1,0.294950684021314,-0.0281940814089602,0.0117550539911916
"73",14,2,"Group-level",1,1,0.395012987066561,0.00669872065446265,0.0117550539911916
"74",14,3,"Group-level",1,1,0.204037229387905,0.0273853658777641,0.0117550539911916
"75",14,4,"Group-level",1,1,0.0341739347531138,0.00880031608749743,0.0117550539911916
"76",15,0,"Group-level",1,1,0.0584623434183374,-0.0121126198384437,0.0108540321169897
"77",15,1,"Group-level",1,1,0.267157595975735,-0.0273162819962863,0.0108540321169897
"78",15,2,"Group-level",1,1,0.399423502319197,0.00219281103944672,0.0108540321169897
"79",15,3,"Group-level",1,1,0.231292519841232,0.0270516867170441,0.0108540321169897
"80",15,4,"Group-level",1,1,0.0436640384454992,0.0101844040782392,0.0108540321169897
"81",16,0,"Group-level",1,1,0.0474576670101804,-0.00996206406189158,0.0100645235204076
"82",16,1,"Group-level",1,1,0.240445905893212,-0.0260541434497257,0.0100645235204076
"83",16,2,"Group-level",1,1,0.399547068591592,-0.00186853373700324,0.0100645235204076
"84",16,3,"Group-level",1,1,0.25800096618463,0.0262992653969333,0.0100645235204076
"85",16,4,"Group-level",1,1,0.054548392320386,0.0115854758516872,0.0100645235204076
"86",17,0,"Group-level",1,1,0.0384181113891946,-0.0081721418074956,0.00936675187618864
"87",17,1,"Group-level",1,1,0.2151360463866,-0.0245309668199663,0.00936675187618864
"88",17,2,"Group-level",1,1,0.395844381948625,-0.00545667823871957,0.00936675187618864
"89",17,3,"Group-level",1,1,0.283767307660858,0.0251757059920798,0.00936675187618864
"90",17,4,"Group-level",1,1,0.066834152614722,0.0129840808741016,0.00936675187618864
"91",18,0,"Group-level",1,1,0.0310122103985088,-0.006686016892686,0.00874535877011856
"92",18,1,"Group-level",1,1,0.191437940670816,-0.0228451929982363,0.00874535877011856
"93",18,2,"Group-level",1,1,0.388794713286596,-0.00856231492054823,0.00874535877011856
"94",18,3,"Group-level",1,1,0.30824545012999,0.0237313914449936,0.00874535877011856
"95",18,4,"Group-level",1,1,0.0805096855140891,0.014362133366477,0.00874535877011856
"96",19,0,"Group-level",1,1,0.0249610473939231,-0.00545522290148643,0.00818823525749722
"97",19,1,"Group-level",1,1,0.169473795284532,-0.0210744381164084,0.00818823525749722
"98",19,2,"Group-level",1,1,0.378878830137291,-0.011191091503035,0.00818823525749722
"99",19,3,"Group-level",1,1,0.331140278249122,0.0220176200178576,0.00818823525749722
"100",19,4,"Group-level",1,1,0.0955460489351312,0.0157031325030722,0.00818823525749722
"101",20,0,"Group-level",1,1,0.0200304701309252,-0.00443851933160002,0.00768570573414527
"102",20,1,"Group-level",1,1,0.149297143616494,-0.0192789684953593,0.00768570573414527
"103",20,2,"Group-level",1,1,0.366565927696711,-0.0133599486365263,0.00768570573414527
"104",20,3,"Group-level",1,1,0.352207803287496,0.0200851300541784,0.00768570573414527
"105",20,4,"Group-level",1,1,0.111898655268373,0.0169923064093072,0.00768570573414527
"106",21,0,"Group-level",1,1,0.0160243761047386,-0.00360089164060696,0.00722994608435376
"107",21,1,"Group-level",1,1,0.130908666100191,-0.017504683056327,0.00722994608435376
"108",21,2,"Group-level",1,1,0.352303906469473,-0.0150940743125155,0.00722994608435376
"109",21,3,"Group-level",1,1,0.371254005892816,0.017982956220378,0.00722994608435376
"110",21,4,"Group-level",1,1,0.12950904543278,0.0182166927890715,0.00722994608435376
"111",22,0,"Group-level",1,1,0.0127789328430204,-0.0029126786913921,0.00681456121156976
"112",22,1,"Group-level",1,1,0.11426924868847,-0.0157856639042458,0.00681456121156976
"113",22,2,"Group-level",1,1,0.336512422184033,-0.0164243918626621,0.00681456121156976
"114",22,3,"Group-level",1,1,0.3881326796673,0.0157575670354811,0.00681456121156976
"115",22,4,"Group-level",1,1,0.148306716617177,0.019365167422819,0.00681456121156976
"116",23,0,"Group-level",1,1,0.0101576132854774,-0.00234881280030573,0.00643427323096345
"117",23,1,"Group-level",1,1,0.0993106838324112,-0.0141463492512654,0.00643427323096345
"118",23,2,"Group-level",1,1,0.319578212014644,-0.0173855077872607,0.00643427323096345
"119",23,3,"Group-level",1,1,0.402742534267371,0.013452239491335,0.00643427323096345
"120",23,4,"Group-level",1,1,0.168210956600096,0.0204284303474968,0.00643427323096345
"121",24,0,"Group-level",1,1,0.00804694039498802,-0.00188815913907958,0.00608468791498786
"122",24,1,"Group-level",1,1,0.0859443670347283,-0.012603376921231,0.00608468791498786
"123",24,2,"Group-level",1,1,0.301852270584388,-0.018014054152809,0.00608468791498786
"124",24,3,"Group-level",1,1,0.415023775293967,0.0111066319687759,0.00608468791498786
"125",24,4,"Group-level",1,1,0.189132646691929,0.0213989582443437,0.00608468791498786
"126",25,0,"Group-level",1,1,0.00635284768025392,-0.00151294264551991,0.00576211739647882
"127",25,1,"Group-level",1,1,0.0740682965334491,-0.0111671413116483,0.00576211739647882
"128",25,2,"Group-level",1,1,0.283648510581011,-0.0183473679664398,0.00576211739647882
"129",25,3,"Group-level",1,1,0.424954341918943,0.00875652151519223,0.00576211739647882
"130",25,4,"Group-level",1,1,0.210976003286342,0.0222709304084158,0.00576211739647882
"131",26,0,"Group-level",1,1,0.00499757350846601,-0.00120825187009939,0.00546344392794486
"132",26,1,"Group-level",1,1,0.0635726432598817,-0.00984310184314261,0.00546344392794486
"133",26,2,"Group-level",1,1,0.265243596897698,-0.018422456842325,0.00546344392794486
"134",26,3,"Group-level",1,1,0.432545951478585,0.00643367591208775,0.00546344392794486
"135",26,4,"Group-level",1,1,0.233640234855369,0.0230401346434793,0.00546344392794486
"136",27,0,"Group-level",1,1,0.00391701707420347,-0.000961610336486963,0.00518601401621045
"137",27,1,"Group-level",1,1,0.05434412240876,-0.0086328765546969,0.00518601401621045
"138",27,2,"Group-level",1,1,0.246877690734723,-0.0182752064847909,0.00518601401621045
"139",27,3,"Group-level",1,1,0.437840072684812,0.00416583486911559,0.00518601401621045
"140",27,4,"Group-level",1,1,0.257021097097501,0.0237038585068592,0.00518601401621045
"141",28,0,"Group-level",1,1,0.00305849278396705,-0.000762607033835509,0.00492755531375634
"142",28,1,"Group-level",1,1,0.046269366303034,-0.00753515056610961,0.00492755531375634
"143",28,2,"Group-level",1,1,0.228755881735098,-0.0179397910844852,0.00492755531375634
"144",28,3,"Group-level",1,1,0.440903925221002,0.00197677817296742,0.00492755531375634
"145",28,4,"Group-level",1,1,0.281012333956899,0.0242607705114629,0.00492755531375634
"146",29,0,"Group-level",1,1,0.00237882772086309,-0.000602578596637348,0.00468611075669299
"147",29,1,"Group-level",1,1,0.0392374703156323,-0.00654642559021325,0.00468611075669299
"148",29,2,"Group-level",1,1,0.2110501225928,-0.0174482527130903,0.00468611075669299
"149",29,3,"Group-level",1,1,0.441826582901436,-0.000113538267130536,0.00468611075669299
"150",29,4,"Group-level",1,1,0.305506996469268,0.0247107951670715,0.00468611075669299
"151",30,0,"Group-level",1,1,0.00184275386827426,-0.000474336572783715,0.00445998591324361
"152",30,1,"Group-level",1,1,0.0331418590444504,-0.00566163350197087,0.00445998591324361
"153",30,2,"Group-level",1,1,0.193901512213155,-0.016830220258971,0.00445998591324361
"154",30,3,"Group-level",1,1,0.440715239931558,-0.0020887947686269,0.00445998591324361
"155",30,4,"Group-level",1,1,0.330398634942563,0.0250549851023524,0.00445998591324361
"156",31,0,"Group-level",1,1,0.0014215529840974,-0.000371933940207139,0.00424770655122372
"157",31,1,"Group-level",1,1,0.0278815983781541,-0.00487463412778859,0.00424770655122372
"158",31,2,"Group-level",1,1,0.177422800939272,-0.0161127424193382,0.00424770655122372
"159",31,3,"Group-level",1,1,0.437691684759912,-0.00393608245676089,0.00424770655122372
"160",31,4,"Group-level",1,1,0.355582362938564,0.0252953929440948,0.00424770655122372
"161",32,0,"Group-level",1,1,0.00109191750952406,-0.000290465714573205,0.00404798418308139
"162",32,1,"Group-level",1,1,0.0233622602217419,-0.00417861487657455,0.00404798418308139
"163",32,2,"Group-level",1,1,0.161701015041054,-0.0153202127972643,0.00404798418308139
"164",32,3,"Group-level",1,1,0.432889013288513,-0.00564565174660252,0.00404798418308139
"165",32,4,"Group-level",1,1,0.380955793939167,0.0254349451350146,0.00404798418308139
"166",33,0,"Group-level",1,1,0.000834995742577193,-0.000225899101834602,0.00385968789185998
"167",33,1,"Group-level",1,1,0.0194964301848516,-0.00356640756703282,0.00385968789185998
"168",33,2,"Group-level",1,1,0.146800118016541,-0.0144743682849908,0.00385968789185998
"169",33,3,"Group-level",1,1,0.426448602511651,-0.00721064448437283,0.00385968789185998
"170",33,4,"Group-level",1,1,0.406419853544379,0.0254773194382311,0.00385968789185998
"171",34,0,"Group-level",1,1,0.000635593774200576,-0.000174929196446893,0.00368182114169195
"172",34,1,"Group-level",1,1,0.0162039342096736,-0.00303073578793058,0.00368182114169195
"173",34,2,"Group-level",1,1,0.132763643659609,-0.0135943446862047,0.00368182114169195
"174",34,3,"Group-level",1,1,0.418517356751755,-0.008626817829186,0.00368182114169195
"175",34,4,"Group-level",1,1,0.431879471604762,0.0254268274997681,0.00368182114169195
"176",35,0,"Group-level",1,1,0.000481510435000443,-0.000134856714568862,0.00351350257352106
"177",35,1,"Group-level",1,1,0.013411847692569,-0.00256440433649242,0.00351350257352106
"178",35,2,"Group-level",1,1,0.119617250648087,-0.0126967759737366,0.00351350257352106
"179",35,3,"Group-level",1,1,0.40924523133155,-0.00989226648968227,0.00351350257352106
"180",35,4,"Group-level",1,1,0.457244159892793,0.0252883035144801,0.00351350257352106
"181",36,0,"Group-level",1,1,0.000362984789461855,-0.000103484687067884,0.00335395000932478
"182",36,1,"Group-level",1,1,0.0110543399179407,-0.00216044069295114,0.00335395000932478
"183",36,2,"Group-level",1,1,0.107371160911563,-0.0117959257273444,0.00335395000932478
"184",36,3,"Group-level",1,1,0.398783032560137,-0.0110071486527989,0.00335395000932478
"185",36,4,"Group-level",1,1,0.482428481820898,0.0250669997601623,0.00335395000932478
"186",37,0,"Group-level",1,1,0.000272238592096389,-7.9031424634748e-05,0.00320246705643329
